id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,number_of_listings
6.45206E+17,Spacious East York home with parking and backyard,40153473,Matthew,,Woodbine-Lumsden,43.69419,-79.31071,Entire home/apt,,4,11,2024-08-14,0.39,1,0,3,STR-2206-GSHXVG,1
6.4551E+17,Lovely one bedroom condo in downtown core Toronto,40120407,Toronto,,Waterfront Communities-The Island,43.65039,-79.3877,Entire home/apt,90,28,1,2024-10-01,0.79,8,332,1,,8
6.45648E+17,Spacious 1+1 in the heart of Toronto,364841008,Srdan,,Trinity-Bellwoods,43.6499,-79.40751,Entire home/apt,150,28,8,2024-04-17,0.28,1,221,3,,1
6.45716E+17,"Modern City View 1 Bdrm + Den Condo, Free Parking",463448799,Lisa,,Waterfront Communities-The Island,43.64812,-79.37406,Entire home/apt,179,30,11,2024-09-19,0.39,1,171,5,,1
6.4575E+17,Sunny blue bedroom overlooking the backyard.,462014572,Sandee,,Stonegate-Queensway,43.62905,-79.4961,Private room,35,28,12,2024-09-30,0.43,3,332,7,,3
6.45754E+17,CN Tower view 2-bdrm condo downtown / free parking,9544232,Katarina,,Niagara,43.63665057,-79.40592408,Entire home/apt,499,2,21,2024-07-22,0.74,1,71,3,STR-2206-HRTRVL,1
6.45847E+17,Room for Rent In Upscale Neighbourhood,11723357,Cathy,,Bayview Woods-Steeles,43.79828,-79.38612,Private room,35,28,2,2024-06-01,0.18,3,292,2,,3
6.45858E+17,Lovely 2Bedroom Toronto Apartment – Guest Favorite,10559740,Itamar,,Moss Park,43.66241586,-79.36850791,Entire home/apt,235,1,127,2024-10-27,4.39,1,253,38,STR-2204-HXTPHL,1
6.46199E+17,Central downtown  condo next2 CNtower+free parking,463541769,Abir,,Waterfront Communities-The Island,43.64413,-79.38941,Entire home/apt,436,2,72,2024-10-20,2.47,1,328,18,STR-2206-HXTRVL,1
6.46272E+17,Central Downtown Condo w/Parking,153143816,Stacey,,Moss Park,43.65114398,-79.37040843,Entire home/apt,145,28,4,2024-09-15,0.22,1,210,3,,1
6.46287E+17,Beautiful Big Bedroom w Small Private Living Room,419232695,Fatima,,Corso Italia-Davenport,43.67683146,-79.45538409,Private room,88,28,4,2024-10-15,0.15,1,364,1,,1
6.4637E+17,Newly Renovated 3BR House in Trendy Bloor West!,463588875,Brock,,Annex,43.66741,-79.41259,Entire home/apt,425,1,58,2024-10-18,1.99,1,25,18,STR-2203-GVSHHH,1
6.46379E+17,Modern and Spacious 2-Bedroom Near King West,7992960,Daniel Joon Keong,,Waterfront Communities-The Island,43.64228,-79.40141,Entire home/apt,,28,21,2024-02-19,0.74,1,0,4,STR-2206-HZRDVM,1
6.4643E+17,Oasis by the lake - studio apartment,6064929,Deanne Marie,,Long Branch,43.59105,-79.53333,Entire home/apt,124,2,25,2024-11-03,0.9,1,333,8,,1
